## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics  --CHART_OUTPUT WR025V9ER.gc_bias_metrics.pdf --SUMMARY_OUTPUT WR025V9ER.summary_metrics.txt --IS_BISULFITE_SEQUENCED true --ALSO_IGNORE_DUPLICATES true --INPUT WR025V9ER.sorted.bam --OUTPUT WR025V9ER.gc_bias_metrics.txt --REFERENCE_SEQUENCE grch38p13_lambda_puc.fa  --SCAN_WINDOW_SIZE 100 --MINIMUM_GENOME_FRACTION 1.0E-5 --METRIC_ACCUMULATION_LEVEL ALL_READS --ASSUME_SORTED true --STOP_AFTER 0 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Feb 23 18:38:03 AEDT 2022

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	UNIQUE	2	113086	1775	17	0.183846	0.004364			
All Reads	UNIQUE	3	144366	2782	16	0.225714	0.004279			
All Reads	UNIQUE	4	155756	3904	16	0.293583	0.004699			
All Reads	UNIQUE	5	158557	4764	16	0.351926	0.005099			
All Reads	UNIQUE	6	179950	6168	16	0.401475	0.005112			
All Reads	UNIQUE	7	193027	7914	15	0.480224	0.005398			
All Reads	UNIQUE	8	220121	10092	15	0.537009	0.005346			
All Reads	UNIQUE	9	248618	12804	14	0.603224	0.005331			
All Reads	UNIQUE	10	292957	16557	14	0.661978	0.005145			
All Reads	UNIQUE	11	357882	22161	14	0.725296	0.004872			
All Reads	UNIQUE	12	466805	31784	14	0.797515	0.004473			
All Reads	UNIQUE	13	615414	46187	13	0.879059	0.00409			
All Reads	UNIQUE	14	872191	69343	13	0.931229	0.003536			
All Reads	UNIQUE	15	1283430	107619	13	0.98216	0.002994			
All Reads	UNIQUE	16	1920373	169476	13	1.033685	0.002511			
All Reads	UNIQUE	17	2884097	261571	13	1.062296	0.002077			
All Reads	UNIQUE	18	4325188	400956	13	1.085819	0.001715			
All Reads	UNIQUE	19	6385214	600023	12	1.100672	0.001421			
All Reads	UNIQUE	20	9221940	869340	12	1.104162	0.001184			
All Reads	UNIQUE	21	12969991	1227071	12	1.108143	0.001			
All Reads	UNIQUE	22	17709092	1673938	12	1.107156	0.000856			
All Reads	UNIQUE	23	23507823	2222702	12	1.107476	0.000743			
All Reads	UNIQUE	24	30341227	2856696	12	1.102799	0.000652			
All Reads	UNIQUE	25	38049062	3560022	12	1.095909	0.000581			
