## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics  --CHART_OUTPUT WR069V9WR.gc_bias_metrics.pdf --SUMMARY_OUTPUT WR069V9WR.summary_metrics.txt --IS_BISULFITE_SEQUENCED true --ALSO_IGNORE_DUPLICATES true --INPUT WR069V9WR.sorted.bam --OUTPUT WR069V9WR.gc_bias_metrics.txt --REFERENCE_SEQUENCE grch38p13_lambda_puc.fa  --SCAN_WINDOW_SIZE 100 --MINIMUM_GENOME_FRACTION 1.0E-5 --METRIC_ACCUMULATION_LEVEL ALL_READS --ASSUME_SORTED true --STOP_AFTER 0 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Feb 23 18:38:03 AEDT 2022

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	UNIQUE	15	1283430	115950	13	1.036515	0.003044			
All Reads	UNIQUE	16	1920373	180937	13	1.080983	0.002541			
All Reads	UNIQUE	17	2884097	279503	13	1.111869	0.002103			
All Reads	UNIQUE	18	4325188	429722	13	1.139881	0.001739			
All Reads	UNIQUE	19	6385214	642071	13	1.153678	0.00144			
All Reads	UNIQUE	20	9221940	933343	12	1.161171	0.001202			
All Reads	UNIQUE	21	12969991	1318605	12	1.166412	0.001016			
All Reads	UNIQUE	22	17709092	1800310	12	1.166348	0.000869			
All Reads	UNIQUE	23	23507823	2384679	12	1.163844	0.000754			
All Reads	UNIQUE	24	30341227	3065016	12	1.158982	0.000662			
All Reads	UNIQUE	25	38049062	3821640	12	1.152346	0.000589			
All Reads	UNIQUE	26	46340122	4631873	12	1.146771	0.000533			
All Reads	UNIQUE	27	55002303	5471298	12	1.141265	0.000488			
All Reads	UNIQUE	28	63744555	6315297	11	1.136653	0.000452			
All Reads	UNIQUE	29	72264669	7124823	11	1.131163	0.000424			
All Reads	UNIQUE	30	80384070	7882605	11	1.125063	0.000401			
All Reads	UNIQUE	31	87952661	8573809	11	1.118412	0.000382			
All Reads	UNIQUE	32	94822082	9179303	11	1.11065	0.000367			
All Reads	UNIQUE	33	100924868	9697904	11	1.102445	0.000354			
All Reads	UNIQUE	34	106336042	10092302	11	1.088897	0.000343			
All Reads	UNIQUE	35	110981640	10377589	11	1.072809	0.000333			
All Reads	UNIQUE	36	114741834	10509172	11	1.050809	0.000324			
All Reads	UNIQUE	37	116830335	10494976	10	1.03063	0.000318			
All Reads	UNIQUE	38	116865262	10305042	10	1.011676	0.000315			
All Reads	UNIQUE	39	115033283	9978355	10	0.995205	0.000315			
All Reads	UNIQUE	40	111474303	9544333	10	0.982308	0.000318			
All Reads	UNIQUE	41	106285838	9029986	10	0.97474	0.000324			
All Reads	UNIQUE	42	100115791	8492958	10	0.97327	0.000334			
All Reads	UNIQUE	43	93766613	7965967	10	0.974692	0.000345			
All Reads	UNIQUE	44	88114092	7515137	10	0.978518	0.000357			
All Reads	UNIQUE	45	83608187	7103971	10	0.974831	0.000366			
All Reads	UNIQUE	46	80190507	6765790	10	0.967994	0.000372			
All Reads	UNIQUE	47	77498050	6469155	10	0.95771	0.000377			
All Reads	UNIQUE	48	74819675	6175907	10	0.947026	0.000381			
All Reads	UNIQUE	49	71557088	5824097	9	0.933798	0.000387			
All Reads	UNIQUE	50	67428237	5422724	9	0.922684	0.000396			
All Reads	UNIQUE	51	62599246	4974301	9	0.911675	0.000409			
All Reads	UNIQUE	52	57591828	4529629	9	0.902358	0.000424			
All Reads	UNIQUE	53	52909869	4126205	9	0.894728	0.00044			
All Reads	UNIQUE	54	48741872	3782994	9	0.890452	0.000458			
All Reads	UNIQUE	55	45067388	3480132	9	0.885952	0.000475			
All Reads	UNIQUE	56	41525675	3192386	9	0.882015	0.000494			
All Reads	UNIQUE	57	37757460	2878839	9	0.874766	0.000516			
All Reads	UNIQUE	58	33606878	2522819	9	0.861261	0.000542			
All Reads	UNIQUE	59	29109921	2130501	9	0.839688	0.000575			
All Reads	UNIQUE	60	24599672	1743914	9	0.813341	0.000616			
All Reads	UNIQUE	61	20433567	1392926	9	0.782098	0.000663			
All Reads	UNIQUE	62	16876845	1100512	9	0.748136	0.000713			
All Reads	UNIQUE	63	13942437	870267	9	0.716128	0.000768			
All Reads	UNIQUE	64	11519972	687757	9	0.684953	0.000826			
All Reads	UNIQUE	65	9502746	540653	8	0.65275	0.000888			
All Reads	UNIQUE	66	7831353	424729	8	0.622232	0.000955			
All Reads	UNIQUE	67	6363395	331074	8	0.596916	0.001037			
All Reads	UNIQUE	68	5089284	254132	8	0.572901	0.001136			
All Reads	UNIQUE	69	4074158	197420	8	0.555943	0.001251			
All Reads	UNIQUE	70	3269564	151527	8	0.531713	0.001366			
All Reads	UNIQUE	71	2617980	116119	8	0.508878	0.001493			
All Reads	UNIQUE	72	2117944	90643	8	0.491017	0.001631			
All Reads	UNIQUE	73	1728380	71195	8	0.472593	0.001771			
All Reads	UNIQUE	74	1425788	56438	8	0.454144	0.001912			
All Reads	UNIQUE	75	1200072	45613	8	0.436072	0.002042			
All Reads	UNIQUE	76	1034915	37756	7	0.418561	0.002154			
All Reads	UNIQUE	77	911308	30761	7	0.387269	0.002208			
All Reads	UNIQUE	78	811087	25030	7	0.354055	0.002238			
All Reads	UNIQUE	79	708223	20576	7	0.333325	0.002324			
All Reads	UNIQUE	80	604166	15999	7	0.303818	0.002402			
All Reads	UNIQUE	81	508396	12304	7	0.277665	0.002503			
All Reads	UNIQUE	82	426951	9385	7	0.252193	0.002603			
All Reads	UNIQUE	83	351300	7121	7	0.232563	0.002756			
All Reads	UNIQUE	84	272651	4934	7	0.20762	0.002956			
All Reads	UNIQUE	85	197877	3632	7	0.210585	0.003494			
All Reads	UNIQUE	86	132088	2359	7	0.2049	0.004219			
All Reads	UNIQUE	87	86165	1529	7	0.203589	0.005207			
All Reads	UNIQUE	88	59409	1003	7	0.193698	0.006116			
All Reads	UNIQUE	89	38378	622	6	0.185945	0.007456			
All Reads	UNIQUE	90	25093	388	7	0.177401	0.009006			
All Reads	UNIQUE	91	16061	229	6	0.163584	0.01081			
All Reads	UNIQUE	92	9569	141	7	0.169056	0.014237			
All Reads	UNIQUE	93	6011	68	6	0.129789	0.015739			
All Reads	UNIQUE	94	3424	40	5	0.13403	0.021192			
All Reads	UNIQUE	95	1675	20	6	0.136991	0.030632			
All Reads	UNIQUE	96	986	6	5	0.069815	0.028502			
All Reads	UNIQUE	97	658	3	7	0.052309	0.0302			
All Reads	UNIQUE	98	328	0	0	0	0			
All Reads	UNIQUE	99	133	2	2	0.172526	0.121995			
All Reads	UNIQUE	100	339	0	0	0	0			


