## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics  --CHART_OUTPUT WR025V1ER.gc_bias_metrics.pdf --SUMMARY_OUTPUT WR025V1ER.summary_metrics.txt --IS_BISULFITE_SEQUENCED true --ALSO_IGNORE_DUPLICATES true --INPUT WR025V1ER.sorted.bam --OUTPUT WR025V1ER.gc_bias_metrics.txt --REFERENCE_SEQUENCE grch38p13_lambda_puc.fa  --SCAN_WINDOW_SIZE 100 --MINIMUM_GENOME_FRACTION 1.0E-5 --METRIC_ACCUMULATION_LEVEL ALL_READS --ASSUME_SORTED true --STOP_AFTER 0 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Feb 23 18:38:03 AEDT 2022

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	UNIQUE	47	77498050	6216937	9	0.969567	0.000389			
All Reads	UNIQUE	48	74819675	5970598	9	0.964482	0.000395			
All Reads	UNIQUE	49	71557088	5677862	9	0.959013	0.000402			
All Reads	UNIQUE	50	67428237	5336290	9	0.956511	0.000414			
All Reads	UNIQUE	51	62599246	4949882	9	0.955692	0.00043			
All Reads	UNIQUE	52	57591828	4565497	9	0.958119	0.000448			
All Reads	UNIQUE	53	52909869	4211876	9	0.962124	0.000469			
All Reads	UNIQUE	54	48741872	3899672	9	0.966981	0.00049			
All Reads	UNIQUE	55	45067388	3629069	9	0.973251	0.000511			
All Reads	UNIQUE	56	41525675	3357368	9	0.97718	0.000533			
All Reads	UNIQUE	57	37757460	3056994	9	0.978552	0.00056			
All Reads	UNIQUE	58	33606878	2706480	9	0.97335	0.000592			
All Reads	UNIQUE	59	29109921	2323066	9	0.964523	0.000633			
All Reads	UNIQUE	60	24599672	1937596	9	0.951976	0.000684			
All Reads	UNIQUE	61	20433567	1583790	9	0.936797	0.000744			
All Reads	UNIQUE	62	16876845	1285959	9	0.920933	0.000812			
All Reads	UNIQUE	63	13942437	1042840	8	0.904006	0.000885			
All Reads	UNIQUE	64	11519972	844230	8	0.88573	0.000964			
All Reads	UNIQUE	65	9502746	681691	8	0.867023	0.00105			
All Reads	UNIQUE	66	7831353	549106	8	0.847445	0.001144			
All Reads	UNIQUE	67	6363395	436211	8	0.828514	0.001254			
All Reads	UNIQUE	68	5089284	343078	8	0.814758	0.001391			
All Reads	UNIQUE	69	4074158	269779	8	0.800318	0.001541			
All Reads	UNIQUE	70	3269564	211949	8	0.78349	0.001702			
All Reads	UNIQUE	71	2617980	166344	8	0.76795	0.001883			
All Reads	UNIQUE	72	2117944	132426	8	0.755703	0.002077			
All Reads	UNIQUE	73	1728380	106940	8	0.747813	0.002287			
All Reads	UNIQUE	74	1425788	87474	8	0.741509	0.002507			
All Reads	UNIQUE	75	1200072	72825	7	0.733441	0.002718			
All Reads	UNIQUE	76	1034915	62034	7	0.724465	0.002909			
All Reads	UNIQUE	77	911308	53203	7	0.705607	0.003059			
All Reads	UNIQUE	78	811087	45419	7	0.676803	0.003176			
All Reads	UNIQUE	79	708223	37837	7	0.645712	0.00332			
All Reads	UNIQUE	80	604166	31503	7	0.630214	0.003551			
All Reads	UNIQUE	81	508396	25905	7	0.615848	0.003826			
All Reads	UNIQUE	82	426951	20543	7	0.581538	0.004057			
All Reads	UNIQUE	83	351300	16779	7	0.577271	0.004457			
All Reads	UNIQUE	84	272651	12807	7	0.567718	0.005017			
All Reads	UNIQUE	85	197877	9652	7	0.589541	0.006001			
