## htsjdk.samtools.metrics.StringHeader
# CollectGcBiasMetrics  --CHART_OUTPUT WR025V9WR.gc_bias_metrics.pdf --SUMMARY_OUTPUT WR025V9WR.summary_metrics.txt --IS_BISULFITE_SEQUENCED true --ALSO_IGNORE_DUPLICATES true --INPUT WR025V9WR.sorted.bam --OUTPUT WR025V9WR.gc_bias_metrics.txt --REFERENCE_SEQUENCE grch38p13_lambda_puc.fa  --SCAN_WINDOW_SIZE 100 --MINIMUM_GENOME_FRACTION 1.0E-5 --METRIC_ACCUMULATION_LEVEL ALL_READS --ASSUME_SORTED true --STOP_AFTER 0 --VERBOSITY INFO --QUIET false --VALIDATION_STRINGENCY STRICT --COMPRESSION_LEVEL 5 --MAX_RECORDS_IN_RAM 500000 --CREATE_INDEX false --CREATE_MD5_FILE false --GA4GH_CLIENT_SECRETS client_secrets.json --help false --version false --showHidden false --USE_JDK_DEFLATER false --USE_JDK_INFLATER false
## htsjdk.samtools.metrics.StringHeader
# Started on: Wed Feb 23 18:38:03 AEDT 2022

## METRICS CLASS	picard.analysis.GcBiasDetailMetrics
ACCUMULATION_LEVEL	READS_USED	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH	SAMPLE	LIBRARY	READ_GROUP
All Reads	UNIQUE	4	155756	5365	17	0.395424	0.005399			
All Reads	UNIQUE	5	158557	6402	17	0.463519	0.005793			
All Reads	UNIQUE	6	179950	7825	16	0.499195	0.005643			
All Reads	UNIQUE	7	193027	9439	16	0.561365	0.005778			
All Reads	UNIQUE	8	220121	11577	15	0.603771	0.005611			
All Reads	UNIQUE	9	248618	14345	15	0.662377	0.00553			
All Reads	UNIQUE	10	292957	18229	15	0.714326	0.005291			
All Reads	UNIQUE	11	357882	24299	14	0.779446	0.005			
All Reads	UNIQUE	12	466805	33899	14	0.83366	0.004528			
All Reads	UNIQUE	13	615414	49232	14	0.91837	0.004139			
All Reads	UNIQUE	14	872191	74051	13	0.974668	0.003582			
All Reads	UNIQUE	15	1283430	115251	13	1.030885	0.003037			
All Reads	UNIQUE	16	1920373	180814	13	1.080896	0.002542			
All Reads	UNIQUE	17	2884097	280185	13	1.115251	0.002107			
All Reads	UNIQUE	18	4325188	428426	13	1.137125	0.001737			
All Reads	UNIQUE	19	6385214	644242	13	1.158273	0.001443			
All Reads	UNIQUE	20	9221940	939928	12	1.170065	0.001207			
All Reads	UNIQUE	21	12969991	1328040	12	1.175463	0.00102			
All Reads	UNIQUE	22	17709092	1812235	12	1.174778	0.000873			
All Reads	UNIQUE	23	23507823	2406111	12	1.175008	0.000758			
All Reads	UNIQUE	24	30341227	3091957	12	1.169871	0.000665			
All Reads	UNIQUE	25	38049062	3856199	12	1.163464	0.000592			
All Reads	UNIQUE	26	46340122	4683073	12	1.160142	0.000536			
All Reads	UNIQUE	27	55002303	5523273	12	1.152798	0.000491			
All Reads	UNIQUE	28	63744555	6375140	11	1.148112	0.000455			
All Reads	UNIQUE	29	72264669	7190779	11	1.142319	0.000426			
All Reads	UNIQUE	30	80384070	7950523	11	1.135438	0.000403			
All Reads	UNIQUE	31	87952661	8636246	11	1.127233	0.000384			
All Reads	UNIQUE	32	94822082	9241981	11	1.118905	0.000368			
All Reads	UNIQUE	33	100924868	9753908	11	1.109476	0.000355			
All Reads	UNIQUE	34	106336042	10142210	11	1.094938	0.000344			
All Reads	UNIQUE	35	110981640	10408871	11	1.076688	0.000334			
All Reads	UNIQUE	36	114741834	10526286	11	1.053152	0.000325			
All Reads	UNIQUE	37	116830335	10494210	10	1.031173	0.000318			
All Reads	UNIQUE	38	116865262	10291648	10	1.010967	0.000315			
All Reads	UNIQUE	39	115033283	9943770	10	0.992351	0.000315			
All Reads	UNIQUE	40	111474303	9504223	10	0.978767	0.000317			
All Reads	UNIQUE	41	106285838	8972112	10	0.969074	0.000324			
All Reads	UNIQUE	42	100115791	8430870	10	0.966735	0.000333			
All Reads	UNIQUE	43	93766613	7908156	10	0.968199	0.000344			
All Reads	UNIQUE	44	88114092	7447234	10	0.970258	0.000356			
All Reads	UNIQUE	45	83608187	7037401	10	0.966276	0.000364			
All Reads	UNIQUE	46	80190507	6700688	10	0.959255	0.000371			
All Reads	UNIQUE	47	77498050	6410797	10	0.94964	0.000375			
All Reads	UNIQUE	48	74819675	6111839	10	0.937764	0.000379			
All Reads	UNIQUE	49	71557088	5771366	9	0.925899	0.000385			
All Reads	UNIQUE	50	67428237	5369150	9	0.914116	0.000395			
All Reads	UNIQUE	51	62599246	4930677	9	0.904222	0.000407			
All Reads	UNIQUE	52	57591828	4492258	9	0.89545	0.000422			
All Reads	UNIQUE	53	52909869	4096013	9	0.888714	0.000439			
All Reads	UNIQUE	54	48741872	3756151	9	0.884664	0.000456			
All Reads	UNIQUE	55	45067388	3464330	9	0.882459	0.000474			
All Reads	UNIQUE	56	41525675	3174905	9	0.877711	0.000493			
All Reads	UNIQUE	57	37757460	2867296	9	0.871781	0.000515			
